#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
hCoV-19/Romania/GR-93715/2021|EPI_ISL_794744|2021-01-04	2021-01-04	2021.009589	2021.009589	2021.009589
NODE_0000019	2020-12-07	2020.932185	2020.877536	2020.979509
hCoV-19/Turkey/HSGM-1221/2021|EPI_ISL_811141|2021-01-04	2021-01-04	2021.009589	2021.009589	2021.009589
NODE_0000020	2020-12-22	2020.973363	2020.927265	2020.993530
hCoV-19/Germany/NW-IOV-K-5809/2020|EPI_ISL_827042|2020-12-30	2020-12-30	2020.995902	2020.995902	2020.995902
hCoV-19/Greece/CP0800976/2020|EPI_ISL_794820|2020-12-30	2020-12-30	2020.995902	2020.995902	2020.995902
NODE_0000143	2020-12-15	2020.956148	2020.908197	2021.001730
hCoV-19/Brazil/SP-1044/2021|EPI_ISL_906074|2021-01-19	2021-01-19	2021.050685	2021.050685	2021.050685
NODE_0000144	2020-12-27	2020.987641	2020.952620	2021.016680
SEQ25|Brazil|MT|Cuiaba|2021-01-24	2021-01-24	2021.064384	2021.064384	2021.064384
NODE_0000145	2021-01-04	2021.009173	2020.981978	2021.025561
SEQ41|Brazil|MG|Betim|2021-01-21	2021-01-21	2021.056164	2021.056164	2021.056164
SEQ33|Brazil|RJ|Rio-de-Janeiro|2021-01-11	2021-01-11	2021.028767	2021.028767	2021.028767
SEQ45|Brazil|RJ|Rio-de-Janeiro|2021-01-12	2021-01-12	2021.031507	2021.031507	2021.031507
NODE_0000024	2020-09-20	2020.720706	2020.648371	2020.824203
NODE_0000093	2020-11-09	2020.856248	2020.773095	2020.931779
hCoV-19/France/COR-SC764/2020|EPI_ISL_768818|2020-12-21	2020-12-21	2020.971311	2020.971311	2020.971311
hCoV-19/Hong_Kong/HKPU-08535/2020|EPI_ISL_1020215|2020-12-26	2020-12-26	2020.984973	2020.984973	2020.984973
NODE_0000026	2020-09-27	2020.739688	2020.683489	2020.832280
NODE_0000098	2020-10-29	2020.826310	2020.780193	2020.888075
hCoV-19/France/HDF-CERBAHC-20211018-33/2021|EPI_ISL_861508|2021-01-06	2021-01-06	2021.015068	2021.015068	2021.015068
NODE_0000114	2020-11-13	2020.868194	2020.822748	2020.922662
hCoV-19/Oman/182621/2020|EPI_ISL_766569|2020-12-22	2020-12-22	2020.974044	2020.974044	2020.974044
hCoV-19/India/KA-NIMH-SEQ-120/2021|EPI_ISL_995702|2021-01-12	2021-01-12	2021.031507	2021.031507	2021.031507
NODE_0000115	2020-11-12	2020.863939	2020.823538	2020.906349
hCoV-19/Canada/ON-S2503/2021|EPI_ISL_962197|2021-01-27	2021-01-27	2021.072603	2021.072603	2021.072603
hCoV-19/Nigeria/CV605/2020|EPI_ISL_906298|2020-12-17	2020-12-17	2020.960383	2020.960383	2020.960383
NODE_0000117	2020-11-26	2020.902842	2020.867571	2020.931950
hCoV-19/Ghana/NMIMR-NTRA-13164/2020|EPI_ISL_1018088|2020-12-10	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000033	2020-12-07	2020.933395	2020.875982	2020.981704
hCoV-19/Montenegro/ChVir23215/2021|EPI_ISL_1013600|2021-01-18	2021-01-18	2021.047945	2021.047945	2021.047945
NODE_0000034	2020-12-17	2020.961052	2020.923660	2020.983510
hCoV-19/USA/NY-CDC-9NRS-9173/2021|EPI_ISL_955271|2021-01-04	2021-01-04	2021.009589	2021.009589	2021.009589
NODE_0000037	2020-12-25	2020.982639	2020.952372	2020.987705
hCoV-19/Ghana/NMIMR-NTRA-15362/2020|EPI_ISL_1018097|2020-12-27	2020-12-27	2020.987705	2020.987705	2020.987705
NODE_0000038	2020-12-27	2020.988392	2020.968190	2020.998634
hCoV-19/Mexico/TAM-InDRE-94/2020|EPI_ISL_794592|2020-12-31	2020-12-31	2020.998634	2020.998634	2020.998634
NODE_0000041	2021-01-02	2021.004110	2020.986020	2021.004110
hCoV-19/Ghana/WACCBIP-GS161/2021|EPI_ISL_944673|2021-01-02	2021-01-02	2021.004110	2021.004110	2021.004110
hCoV-19/USA/NY-Wadsworth-21009428-01/2021|EPI_ISL_883429|2021-01-11	2021-01-11	2021.028767	2021.028767	2021.028767
NODE_0000042	2020-11-12	2020.865776	2020.792242	2020.952977
hCoV-19/Nigeria/FC-CV560/2020|EPI_ISL_872625|2020-12-29	2020-12-29	2020.993169	2020.993169	2020.993169
NODE_0000043	2020-11-23	2020.895061	2020.831063	2020.964144
hCoV-19/Northern_Ireland/NIRE-236193/2021|EPI_ISL_866397|2021-01-06	2021-01-06	2021.015068	2021.015068	2021.015068
NODE_0000044	2020-11-30	2020.914217	2020.866652	2020.964479
hCoV-19/Sweden/20-53883/2020|EPI_ISL_788990|2020-12-23	2020-12-23	2020.976776	2020.976776	2020.976776
NODE_0000045	2020-12-05	2020.926876	2020.888160	2020.973893
NODE_0000108	2020-12-21	2020.972506	2020.938915	2020.998005
hCoV-19/USA/NY-Wadsworth-21002419-01/2020|EPI_ISL_804982|2020-12-31	2020-12-31	2020.998634	2020.998634	2020.998634
NODE_0000047	2020-12-29	2020.994402	2020.960744	2021.022600
hCoV-19/Australia/VIC18166/2021|EPI_ISL_962830|2021-01-23	2021-01-23	2021.061644	2021.061644	2021.061644
hCoV-19/Nigeria/BCVL-19040/2021|EPI_ISL_985066|2021-01-11	2021-01-11	2021.028767	2021.028767	2021.028767
NODE_0000048	2020-12-10	2020.941767	2020.905938	2020.985861
hCoV-19/Denmark/DCGC-32693/2021|EPI_ISL_869697|2021-01-11	2021-01-11	2021.028767	2021.028767	2021.028767
NODE_0000049	2020-12-16	2020.956812	2020.924566	2020.988964
NODE_0000112	2020-12-30	2020.996956	2020.966036	2021.019883
SEQ36|Brazil|RJ|Campos-dos-Goytacazes|2021-01-11	2021-01-11	2021.028767	2021.028767	2021.028767
hCoV-19/Brazil/SP-L94-CD2722/2021|EPI_ISL_1009678|2021-01-08	2021-01-08	2021.020548	2021.020548	2021.020548
NODE_0000051	2020-12-20	2020.969271	2020.939949	2020.999050
hCoV-19/Belgium/Jessa_55-2105-000093/2021|EPI_ISL_953488|2021-02-01	2021-02-01	2021.086301	2021.086301	2021.086301
NODE_0000052	2020-12-24	2020.980653	2020.952638	2021.002399
NODE_0000107	2021-01-09	2021.021998	2020.985524	2021.056386
hCoV-19/South_Korea/KDCA1316/2021|EPI_ISL_1007653|2021-01-29	2021-01-29	2021.078082	2021.078082	2021.078082
hCoV-19/Poland/2142380296_gx1/2021|EPI_ISL_1007958|2021-02-03	2021-02-03	2021.091781	2021.091781	2021.091781
NODE_0000055	2020-12-30	2020.995631	2020.960038	2021.009315
hCoV-19/Nigeria/CV644/2021|EPI_ISL_941926|2021-01-04	2021-01-04	2021.009589	2021.009589	2021.009589
hCoV-19/Nigeria/CV650/2021|EPI_ISL_941297|2021-01-19	2021-01-19	2021.050685	2021.050685	2021.050685
NODE_0000056	2020-10-04	2020.757606	2020.712511	2020.833702
NODE_0000057	2020-11-13	2020.866869	2020.776702	2020.952326
NODE_0000097	2020-12-07	2020.933166	2020.864710	2020.984861
hCoV-19/Slovakia/UKBA-718/2021|EPI_ISL_875517|2021-01-04	2021-01-04	2021.009589	2021.009589	2021.009589
hCoV-19/England/ALDP-1278165/2021|EPI_ISL_1018652|2021-02-09	2021-02-09	2021.108219	2021.108219	2021.108219
NODE_0000060	2020-12-03	2020.922260	2020.840097	2020.984328
hCoV-19/Ecuador/USFQ-737/2021|EPI_ISL_877562|2021-01-22	2021-01-22	2021.058904	2021.058904	2021.058904
hCoV-19/Belgium/rega-1975/2021|EPI_ISL_913757|2021-01-11	2021-01-11	2021.028767	2021.028767	2021.028767
NODE_0000148	2020-10-12	2020.780464	2020.738291	2020.838328
NODE_0000197	2020-11-02	2020.838638	2020.802668	2020.882963
hCoV-19/Switzerland/un-UHB-30830994/2020|EPI_ISL_896107|2020-11-28	2020-11-28	2020.908470	2020.908470	2020.908470
hCoV-19/env/Austria/CeMM3279/2021|EPI_ISL_1008274|2021-01-25	2021-01-25	2021.067123	2021.067123	2021.067123
hCoV-19/India/KA-NIMH-SEQ-179/2021|EPI_ISL_995761|2021-01-27	2021-01-27	2021.072603	2021.072603	2021.072603
hCoV-19/env/Austria/CeMM3683/2021|EPI_ISL_1008315|2021-01-31	2021-01-31	2021.083562	2021.083562	2021.083562
NODE_0000053	2020-10-17	2020.792424	2020.746387	2020.841239
NODE_0000196	2020-11-08	2020.853414	2020.805177	2020.910717
hCoV-19/Switzerland/un-UHB-31028197/2020|EPI_ISL_896094|2020-12-14	2020-12-14	2020.952186	2020.952186	2020.952186
hCoV-19/Austria/CeMM2208/2020|EPI_ISL_934435|2020-12-22	2020-12-22	2020.974044	2020.974044	2020.974044
NODE_0000058	2020-10-21	2020.805251	2020.758862	2020.847054
hCoV-19/United_Arab_Emirates/3806/2020|EPI_ISL_859852|2020-11-16	2020-11-16	2020.875683	2020.875683	2020.875683
NODE_0000062	2020-10-25	2020.815593	2020.769186	2020.851670
NODE_0000156	2020-11-19	2020.882833	2020.843063	2020.907547
hCoV-19/England/CAMC-BD2093/2020|EPI_ISL_702221|2020-11-28	2020-11-28	2020.908470	2020.908470	2020.908470
hCoV-19/Switzerland/BE-ETHZ-431563/2020|EPI_ISL_1004712|2020-12-31	2020-12-31	2020.998634	2020.998634	2020.998634
NODE_0000065	2020-10-28	2020.824707	2020.778809	2020.857005
hCoV-19/USA/NY-Wadsworth-21013973-01/2021|EPI_ISL_936173|2021-01-23	2021-01-23	2021.061644	2021.061644	2021.061644
NODE_0000066	2020-11-01	2020.833731	2020.795288	2020.864054
NODE_0000200	2020-11-12	2020.863833	2020.822284	2020.918115
hCoV-19/Czech_Republic/Tilia-12/2021|EPI_ISL_906053|2021-01-18	2021-01-18	2021.047945	2021.047945	2021.047945
NODE_0000201	2020-11-22	2020.891761	2020.855840	2020.931653
NODE_0000205	2020-12-17	2020.961735	2020.937404	2020.973229
hCoV-19/Slovakia/UKBA-1120/2021|EPI_ISL_959632|2021-01-26	2021-01-26	2021.069863	2021.069863	2021.069863
hCoV-19/Slovakia/UKBA-1007/2020|EPI_ISL_903986|2020-12-22	2020-12-22	2020.974044	2020.974044	2020.974044
hCoV-19/Austria/CeMM2823/2020|EPI_ISL_1008163|2020-12-30	2020-12-30	2020.995902	2020.995902	2020.995902
NODE_0000069	2020-12-01	2020.917735	2020.884069	2020.933060
hCoV-19/Germany/NW-RKI-I-0026/2020|EPI_ISL_751799|2020-12-07	2020-12-07	2020.933060	2020.933060	2020.933060
NODE_0000070	2020-12-07	2020.932197	2020.897437	2020.971648
hCoV-19/South_Korea/KDCA1313/2021|EPI_ISL_1007651|2021-01-26	2021-01-26	2021.069863	2021.069863	2021.069863
NODE_0000071	2020-12-10	2020.941582	2020.909245	2020.986016
hCoV-19/Slovakia/UKBA-806/2021|EPI_ISL_831673|2021-01-11	2021-01-11	2021.028767	2021.028767	2021.028767
NODE_0000074	2020-12-16	2020.956319	2020.928940	2020.990801
NODE_0000214	2020-12-31	2020.998414	2020.968163	2021.021939
hCoV-19/Austria/CeMM3734/2021|EPI_ISL_1008354|2021-01-30	2021-01-30	2021.080822	2021.080822	2021.080822
hCoV-19/Austria/CeMM2241/2021|EPI_ISL_934439|2021-01-10	2021-01-10	2021.026027	2021.026027	2021.026027
hCoV-19/Slovakia/UKBA-1218/2021|EPI_ISL_959615|2021-02-02	2021-02-02	2021.089041	2021.089041	2021.089041
NODE_0000076	2020-12-21	2020.970938	2020.944453	2020.996374
hCoV-19/Czech_Republic/NRL_237/2021|EPI_ISL_850682|2021-01-04	2021-01-04	2021.009589	2021.009589	2021.009589
NODE_0000077	2020-12-26	2020.985349	2020.959701	2021.009577
hCoV-19/Slovakia/UKBA-1101/2021|EPI_ISL_959643|2021-01-20	2021-01-20	2021.053425	2021.053425	2021.053425
NODE_0000078	2020-12-31	2020.998706	2020.970461	2021.013668
hCoV-19/Austria/CeMM3193/2021|EPI_ISL_1008197|2021-01-20	2021-01-20	2021.053425	2021.053425	2021.053425
NODE_0000079	2021-01-04	2021.010868	2020.989470	2021.018786
hCoV-19/Denmark/DCGC-39728/2021|EPI_ISL_971335|2021-02-01	2021-02-01	2021.086301	2021.086301	2021.086301
NODE_0000081	2021-01-08	2021.020548	2021.004109	2021.020548
hCoV-19/Czech_Republic/NRL_551-1/2021|EPI_ISL_960404|2021-01-08	2021-01-08	2021.020548	2021.020548	2021.020548
NODE_0000085	2021-01-23	2021.061623	2021.022203	2021.072603
hCoV-19/Germany/ST-MD587/2021|EPI_ISL_960894|2021-02-03	2021-02-03	2021.091781	2021.091781	2021.091781
hCoV-19/Austria/CeMM3305/2021|EPI_ISL_1008298|2021-01-27	2021-01-27	2021.072603	2021.072603	2021.072603
NODE_0000086	2020-11-04	2020.842247	2020.802123	2020.864831
NODE_0000180	2020-12-07	2020.932298	2020.876910	2020.990306
hCoV-19/Denmark/DCGC-40016/2021|EPI_ISL_971693|2021-01-25	2021-01-25	2021.067123	2021.067123	2021.067123
NODE_0000181	2021-01-01	2021.002496	2020.954522	2021.033909
hCoV-19/Sri_Lanka/QA31/2021|EPI_ISL_996055|2021-01-21	2021-01-21	2021.056164	2021.056164	2021.056164
hCoV-19/Sri_Lanka/MULQ106/2021|EPI_ISL_996054|2021-01-29	2021-01-29	2021.078082	2021.078082	2021.078082
NODE_0000089	2020-11-07	2020.852084	2020.818051	2020.871910
hCoV-19/Spain/MD-IBV-99013442/2020|EPI_ISL_831027|2020-12-14	2020-12-14	2020.952186	2020.952186	2020.952186
NODE_0000090	2020-11-10	2020.860325	2020.831295	2020.877758
hCoV-19/England/210100175/2020|EPI_ISL_837170|2020-12-31	2020-12-31	2020.998634	2020.998634	2020.998634
NODE_0000091	2020-11-14	2020.869007	2020.844578	2020.881196
hCoV-19/Luxembourg/LNS0384222/2021|EPI_ISL_911199|2021-01-17	2021-01-17	2021.045205	2021.045205	2021.045205
NODE_0000094	2020-11-17	2020.877284	2020.856469	2020.882937
NODE_0000175	2020-12-18	2020.964281	2020.924335	2020.980196
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI024/2020|EPI_ISL_1016690|2020-12-25	2020-12-25	2020.982240	2020.982240	2020.982240
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI030/2021|EPI_ISL_1016968|2021-02-09	2021-02-09	2021.108219	2021.108219	2021.108219
NODE_0000096	2020-11-20	2020.886612	2020.866896	2020.886612
hCoV-19/United_Arab_Emirates/3864/2020|EPI_ISL_859878|2020-11-20	2020-11-20	2020.886612	2020.886612	2020.886612
NODE_0000099	2020-11-20	2020.886334	2020.852366	2020.913678
hCoV-19/Netherlands/UT-RIVM-21600/2020|EPI_ISL_905187|2020-12-29	2020-12-29	2020.993169	2020.993169	2020.993169
NODE_0000100	2020-11-22	2020.892313	2020.864337	2020.918290
hCoV-19/Norway/7338/2020|EPI_ISL_860213|2020-12-29	2020-12-29	2020.993169	2020.993169	2020.993169
NODE_0000101	2020-11-25	2020.900069	2020.878165	2020.922593
NODE_0000168	2020-12-13	2020.949454	2020.915758	2020.949454
hCoV-19/Serbia/Belgrade-2905431312/2020|EPI_ISL_1017679|2020-12-13	2020-12-13	2020.949454	2020.949454	2020.949454
NODE_0000169	2020-12-21	2020.971155	2020.937602	2021.018258
hCoV-19/Singapore/142/2021|EPI_ISL_953386|2021-02-03	2021-02-03	2021.091781	2021.091781	2021.091781
hCoV-19/Singapore/164/2021|EPI_ISL_981013|2021-02-06	2021-02-06	2021.100000	2021.100000	2021.100000
NODE_0000104	2020-11-29	2020.910512	2020.871908	2020.928426
hCoV-19/Belgium/rega-2826/2021|EPI_ISL_995679|2021-01-28	2021-01-28	2021.075342	2021.075342	2021.075342
NODE_0000105	2020-12-02	2020.918479	2020.884935	2020.934794
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI027/2021|EPI_ISL_1016843|2021-01-28	2021-01-28	2021.075342	2021.075342	2021.075342
NODE_0000106	2020-12-04	2020.925800	2020.897123	2020.939656
NODE_0000187	2020-12-20	2020.967903	2020.935500	2020.987705
hCoV-19/Turkey/HSGM-1577/2021|EPI_ISL_983423|2021-01-22	2021-01-22	2021.058904	2021.058904	2021.058904
hCoV-19/United_Arab_Emirates/4273/2020|EPI_ISL_860042|2020-12-27	2020-12-27	2020.987705	2020.987705	2020.987705
NODE_0000109	2020-12-25	2020.983436	2020.950663	2021.008731
hCoV-19/France/IDF-IPP01664/2021|EPI_ISL_954020|2021-01-19	2021-01-19	2021.050685	2021.050685	2021.050685
NODE_0000110	2020-12-29	2020.993223	2020.963795	2021.021811
hCoV-19/India/KA-NIMH-SEQ-181/2021|EPI_ISL_995762|2021-01-31	2021-01-31	2021.083562	2021.083562	2021.083562
NODE_0000111	2021-01-03	2021.008121	2020.978850	2021.035087
NODE_0000193	2021-01-15	2021.040592	2021.010710	2021.065290
hCoV-19/Jordan/Biolab001/2021|EPI_ISL_977537|2021-01-29	2021-01-29	2021.078082	2021.078082	2021.078082
hCoV-19/Australia/VIC18209/2021|EPI_ISL_979359|2021-01-30	2021-01-30	2021.080822	2021.080822	2021.080822
NODE_0000113	2021-01-12	2021.030693	2020.989966	2021.047945
hCoV-19/Malaysia/IMR-WC61542/2021|EPI_ISL_934424|2021-01-24	2021-01-24	2021.064384	2021.064384	2021.064384
hCoV-19/Denmark/DCGC-37569/2021|EPI_ISL_928710|2021-01-18	2021-01-18	2021.047945	2021.047945	2021.047945
NODE_0000116	2020-12-07	2020.933045	2020.908569	2020.947100
NODE_0000160	2021-01-02	2021.004110	2020.967747	2021.004110
hCoV-19/Jordan/AM-ALSR-5833/2021|EPI_ISL_878579|2021-01-02	2021-01-02	2021.004110	2021.004110	2021.004110
hCoV-19/Jordan/Biolab002/2021|EPI_ISL_977600|2021-01-27	2021-01-27	2021.072603	2021.072603	2021.072603
NODE_0000118	2020-12-10	2020.940585	2020.920441	2020.951855
hCoV-19/Iceland/3705/2021|EPI_ISL_827396|2021-01-04	2021-01-04	2021.009589	2021.009589	2021.009589
NODE_0000119	2020-12-12	2020.947600	2020.929962	2020.957069
NODE_0000182	2020-12-28	2020.990998	2020.955210	2021.028059
hCoV-19/South_Korea/KDCA1307/2021|EPI_ISL_1007647|2021-01-21	2021-01-21	2021.056164	2021.056164	2021.056164
hCoV-19/New_Zealand/21MV0054/2021|EPI_ISL_1016853|2021-02-05	2021-02-05	2021.097260	2021.097260	2021.097260
NODE_0000121	2021-01-06	2021.015234	2020.981460	2021.032518
hCoV-19/Australia/NSW-R0067/2021|EPI_ISL_1010713|2021-02-12	2021-02-12	2021.116438	2021.116438	2021.116438
NODE_0000122	2021-01-13	2021.034247	2021.010106	2021.034247
hCoV-19/Mayotte/IPP00938/2021|EPI_ISL_1013152|2021-01-13	2021-01-13	2021.034247	2021.034247	2021.034247
hCoV-19/Singapore/48/2021|EPI_ISL_833375|2021-01-13	2021-01-13	2021.034247	2021.034247	2021.034247
NODE_0000123	2020-12-15	2020.954239	2020.939795	2020.957981
NODE_0000176	2021-01-16	2021.042466	2020.989817	2021.042466
hCoV-19/Portugal/PT2668/2021|EPI_ISL_941669|2021-01-16	2021-01-16	2021.042466	2021.042466	2021.042466
hCoV-19/Portugal/PT2619/2021|EPI_ISL_941622|2021-01-25	2021-01-25	2021.067123	2021.067123	2021.067123
NODE_0000126	2020-12-17	2020.960383	2020.948245	2020.960383
hCoV-19/Scotland/EDB11138/2020|EPI_ISL_742232|2020-12-17	2020-12-17	2020.960383	2020.960383	2020.960383
NODE_0000129	2020-12-17	2020.960654	2020.928693	2020.989876
NODE_0000154	2021-01-21	2021.055554	2021.009474	2021.069863
hCoV-19/Sweden/21-20545/2021|EPI_ISL_1008539|2021-01-26	2021-01-26	2021.069863	2021.069863	2021.069863
hCoV-19/Sweden/RVFOI21-00030/2021|EPI_ISL_984723|2021-01-29	2021-01-29	2021.078082	2021.078082	2021.078082
NODE_0000132	2020-12-25	2020.982075	2020.961918	2020.993926
hCoV-19/Sweden/RVFOI21-00188/2021|EPI_ISL_985388|2021-02-06	2021-02-06	2021.100000	2021.100000	2021.100000
NODE_0000133	2020-12-30	2020.995902	2020.978081	2020.995902
hCoV-19/Portugal/PT2155/2020|EPI_ISL_796761|2020-12-30	2020-12-30	2020.995902	2020.995902	2020.995902
NODE_0000136	2021-01-06	2021.014930	2020.991800	2021.017808
hCoV-19/Hungary/UD-P66/2021|EPI_ISL_826269|2021-01-07	2021-01-07	2021.017808	2021.017808	2021.017808
NODE_0000137	2021-01-14	2021.036986	2021.009708	2021.036986
hCoV-19/Slovenia/P21-30946/2021|EPI_ISL_979251|2021-01-16	2021-01-16	2021.042466	2021.042466	2021.042466
hCoV-19/Portugal/PT2847/2021|EPI_ISL_941831|2021-01-14	2021-01-14	2021.036986	2021.036986	2021.036986
NODE_0000018	2020-08-31	2020.665664	2020.624183	2020.713589
NODE_0000002	2020-09-15	2020.707351	2020.672511	2020.734724
NODE_0000010	2020-09-28	2020.741803	2020.718693	2020.741803
hCoV-19/Serbia/Belgrade-2515952809/2020|EPI_ISL_1017698|2020-09-28	2020-09-28	2020.741803	2020.741803	2020.741803
hCoV-19/Ireland/WW-NVRL-21IRL31205/2021|EPI_ISL_1001120|2021-02-03	2021-02-03	2021.091781	2021.091781	2021.091781
NODE_0000141	2020-10-03	2020.755052	2020.684345	2020.842785
NODE_0000000	2020-12-10	2020.942005	2020.895164	2020.973394
SEQ10|Brazil|PR|Curitiba|2021-01-07	2021-01-07	2021.017808	2021.017808	2021.017808
hCoV-19/Canada/BC-BCCDC-9445/2020|EPI_ISL_976767|2020-12-26	2020-12-26	2020.984973	2020.984973	2020.984973
hCoV-19/Kuwait/SKS00105-JAH/2020|EPI_ISL_903383|2020-12-31	2020-12-31	2020.998634	2020.998634	2020.998634
NODE_0000146	2020-10-21	2020.805876	2020.753877	2020.843900
NODE_0000147	2020-11-05	2020.845628	2020.805211	2020.845628
hCoV-19/Wales/PHWC-48AAA2/2020|EPI_ISL_665642|2020-11-05	2020-11-05	2020.845628	2020.845628	2020.845628
NODE_0000149	2020-11-20	2020.885790	2020.792570	2020.956249
hCoV-19/Poland/2142331642_gx1/2021|EPI_ISL_1007953|2021-01-25	2021-01-25	2021.067123	2021.067123	2021.067123
NODE_0000150	2020-12-06	2020.929859	2020.866270	2020.963329
hCoV-19/Guadeloupe/IPP02972/2021|EPI_ISL_1013216|2021-01-28	2021-01-28	2021.075342	2021.075342	2021.075342
NODE_0000151	2020-12-14	2020.953288	2020.910523	2020.969509
hCoV-19/Italy/ABR-IZSGC-64358/2021|EPI_ISL_961724|2021-02-03	2021-02-03	2021.091781	2021.091781	2021.091781
NODE_0000152	2020-12-21	2020.971311	2020.942367	2020.971311
hCoV-19/Brazil/SP-1052/2021|EPI_ISL_906078|2021-01-20	2021-01-20	2021.053425	2021.053425	2021.053425
hCoV-19/Italy/CAM-TIGEM-181/2020|EPI_ISL_736787|2020-12-21	2020-12-21	2020.971311	2020.971311	2020.971311
NODE_0000011	2020-11-09	2020.856557	2020.821804	2020.856557
hCoV-19/Denmark/DCGC-9642/2020|EPI_ISL_668600|2020-11-09	2020-11-09	2020.856557	2020.856557	2020.856557
NODE_0000155	2020-11-15	2020.872223	2020.839267	2020.894809
hCoV-19/Denmark/DCGC-14596/2020|EPI_ISL_711232|2020-11-23	2020-11-23	2020.894809	2020.894809	2020.894809
NODE_0000157	2020-11-23	2020.893615	2020.860315	2020.911676
hCoV-19/Denmark/DCGC-29577/2020|EPI_ISL_843624|2020-12-28	2020-12-28	2020.990437	2020.990437	2020.990437
NODE_0000158	2020-11-29	2020.912040	2020.885231	2020.913934
hCoV-19/Denmark/DCGC-14208/2020|EPI_ISL_711231|2020-11-30	2020-11-30	2020.913934	2020.913934	2020.913934
NODE_0000159	2020-11-30	2020.914552	2020.891664	2020.931085
hCoV-19/Denmark/DCGC-29413/2021|EPI_ISL_843460|2021-01-04	2021-01-04	2021.009589	2021.009589	2021.009589
NODE_0000161	2020-12-07	2020.933060	2020.913341	2020.933060
hCoV-19/Denmark/DCGC-18425/2020|EPI_ISL_749290|2020-12-07	2020-12-07	2020.933060	2020.933060	2020.933060
NODE_0000162	2020-12-14	2020.952186	2020.928606	2020.952186
hCoV-19/Denmark/DCGC-21953/2020|EPI_ISL_757886|2020-12-21	2020-12-21	2020.971311	2020.971311	2020.971311
hCoV-19/Denmark/DCGC-23976/2020|EPI_ISL_792765|2020-12-14	2020-12-14	2020.952186	2020.952186	2020.952186
NODE_0000040	2020-09-12	2020.698697	2020.664765	2020.735065
